											
											
		R@1	R@2	R@5	R@10	R@20	R@30	R@50	R@100	R@150	R@200
2wiki with 3-Granuarity	HippoRAG2	0.4285	0.69	0.7705	0.8215	0.85	0.867	0.885	0.911	0.9285	0.938
	Heuristic 	0.4275	0.712	0.8395	0.895	0.919	0.9315	0.948	0.966	0.971	0.975
	Reset-only	0.3955	0.6125	0.771	0.838	0.8825	0.9055	0.9375	0.966	0.9715	0.974
	Diffusion-only	0.4085	0.661	0.84	0.895	0.921	0.9345	0.9465	0.9585	0.966	0.97
	Shared-Gated	0.4215	0.7195	0.8905	0.938	0.9545	0.961	0.966	0.9745	0.978	0.9795
	Dual-Gated										
											
2wiki with 2-Granuarity	HippoRAG2	0.424	0.697	0.7955	0.8475	0.8695	0.8825	0.8985	0.925	0.9365	0.9475
	Reset-only	0.399	0.615	0.7725	0.845	0.892	0.9065	0.938	0.9625	0.9695	0.9725
	Diffusion-only	0.4065	0.657	0.836	0.9	0.922	0.933	0.944	0.9585	0.964	0.968
	Shared-Gated	0.4055	0.632	0.795	0.862	0.9075	0.9225	0.951	0.968	0.972	0.9745
	Dual-Gated	0.406	0.6295	0.7905	0.8655	0.9105	0.923	0.948	0.968	0.972	0.9735
											
											
											
											
											
		R@1	R@2	R@5	R@10	R@20	R@30	R@50	R@100	R@150	R@200
Musique with 3-Granuarity	HippoRAG2	0.3103	0.4487	0.5803	0.6628	0.7308	0.7683	0.8067	0.8618	0.8915	0.9053
	Heuristic 	0.3117	0.4527	0.6148	0.6992	0.766	0.7983	0.8333	0.8763	0.894	0.9122
	Reset-only	0.3128	0.4228	0.562	0.6543	0.7287	0.7817	0.8415	0.9063	0.9335	0.9458
	Diffusion-only	0.3173	0.4612	0.6127	0.698	0.7613	0.8058	0.8493	0.8877	0.9087	0.9287
	Shared-Gated	0.3147	0.4615	0.6298	0.736	0.7973	0.845	0.8852	0.9255	0.9412	0.9583
	Dual-Gated	0.3128	0.4645	0.6293	0.7402	0.8025	0.8492	0.887	0.9282	0.9405	0.9592
											
Musique with 2-Granuarity	HippoRAG2	0.3052	0.474	0.633	0.7203	0.7883	0.824	0.8578	0.8995	0.9162	0.9273
	Reset-only	0.288	0.4195	0.5633	0.6513	0.7235	0.7742	0.8353	0.894	0.9285	0.9458
	Diffusion-only	0.3115	0.4648	0.6107	0.697	0.7638	0.8052	0.8443	0.883	0.9048	0.9187
	Shared-Gated	0.2983	0.4607	0.6255	0.7305	0.8097	0.8543	0.8918	0.929	0.9432	0.9537
	Dual-Gated	0.2977	0.461	0.636	0.7402	0.8148	0.859	0.8933	0.928	0.9402	0.9513
											
											
											
											
		R@1	R@2	R@5	R@10	R@20	R@30	R@50	R@100	R@150	R@200
HotPotQA with 3-Granuarity	HippoRAG2	0.436	0.745	0.906	0.96	0.976	0.98	0.988	0.99	0.993	0.995
	Reset-only	0.419	0.672	0.858	0.944	0.976	0.981	0.989	0.993	0.994	0.994
	Diffusion-only	0.423	0.727	0.902	0.958	0.974	0.98	0.987	0.991	0.991	0.992
	Shared-Gated	0.419	0.7	0.89	0.957	0.978	0.984	0.99	0.994	0.994	0.994
	Dual-Gated	0.42	0.691	0.878	0.953	0.977	0.981	0.989	0.994	0.994	0.994
											
HotPotQA with 2-Granuarity	HippoRAG2	0.437	0.751	0.905	0.963	0.975	0.983	0.988	0.991	0.993	0.994
	Reset-only	0.424	0.696	0.876	0.954	0.976	0.98	0.988	0.994	0.994	0.994
	Diffusion-only	0.439	0.75	0.894	0.949	0.968	0.975	0.985	0.989	0.99	0.991
	Shared-Gated	0.434	0.756	0.897	0.959	0.975	0.981	0.988	0.993	0.994	0.994
	Dual-Gated	0.44	0.741	0.894	0.951	0.968	0.978	0.985	0.989	0.99	0.992
